"-------------------------------------------------------------------------------------------"
" Atmospheric CO2 concentrations (ppm) derived from in situ air measurements                "
" at Mauna Loa, Observatory, Hawaii: Latitude 19.5°N Longitude 155.6°W Elevation 3397m      "
" Since December 2022 sampling has temporarily been relocated to MaunuaKea, Hawaii          "
" Latitude 19.8°N Longitude 155.5°W Elevation 4145m      "
"                                                                                           "
" Source: R. F. Keeling, S. J. Walker, S. C. Piper and A. F. Bollenbacher                   "
" Scripps CO2 Program ( http://scrippsco2.ucsd.edu )                                        "
" Scripps Institution of Oceanography (SIO)                                                 "
" University of California                                                                  "
" La Jolla, California USA 92093-0244                                                       "
"                                                                                           "
" Status of data and correspondence:                                                        "
"                                                                                           "
" These data are subject to revision based on recalibration of standard gases. Questions    "
" about the data should be directed to Dr. Ralph Keeling (rkeeling@ucsd.edu), Stephen Walker"
" (sjwalker@ucsd.edu) and Stephen Piper (scpiper@ucsd.edu), Scripps CO2 Program.            "
"                                                                                           "
" Baseline data in this file through 09-Jul-2023 from archive dated 10-Jul-2023 15:15:05    "
"                                                                                           "
"-------------------------------------------------------------------------------------------"
"                                                                                           "
" Please cite as:                                                                           "
"                                                                                           "
" C. D. Keeling, S. C. Piper, R. B. Bacastow, M. Wahlen, T. P. Whorf, M. Heimann, and       "
" H. A. Meijer, Exchanges of atmospheric CO2 and 13CO2 with the terrestrial biosphere and   "
" oceans from 1978 to 2000.  I. Global aspects, SIO Reference Series, No. 01-06, Scripps    "
" Institution of Oceanography, San Diego, 88 pages, 2001.                                   "
"                                                                                           "
" If it is necessary to cite a peer-reviewed article, please cite as:                       "
"                                                                                           "
" C. D. Keeling, S. C. Piper, R. B. Bacastow, M. Wahlen, T. P. Whorf, M. Heimann, and       "
" H. A. Meijer, Atmospheric CO2 and 13CO2 exchange with the terrestrial biosphere and       "
" oceans from 1978 to 2000: observations and carbon cycle implications, pages 83-113,       "
" in "A History of Atmospheric CO2 and its effects on Plants, Animals, and Ecosystems",     "
" editors, Ehleringer, J.R., T. E. Cerling, M. D. Dearing, Springer Verlag,                 "
" New York, 2005.                                                                           "
"                                                                                           "
"-------------------------------------------------------------------------------------------"
"                                                                                           "
" The data file below contains 10 columns.  Columns 1-4 give the dates in several redundant "
" formats. Column 5 below gives monthly Mauna Loa CO2 concentrations in micro-mol CO2 per   "
" mole (ppm), reported on the 2012 SIO manometric mole fraction scale.  This is the        "
" standard version of the data most often sought.  The monthly values have been adjusted    "
" to 24:00 hours on the 15th of each month.  Column 6 gives the same data after a seasonal  "
" adjustment to remove the quasi-regular seasonal cycle.  The adjustment involves           "
" subtracting from the data a 4-harmonic fit with a linear gain factor.  Column 7 is a      "
" smoothed version of the data generated from a stiff cubic spline function plus 4-harmonic "
" functions with linear gain.  Column 8 is the same smoothed version with the seasonal      "
" cycle removed.  Column 9 is identical to Column 5 except that the missing values from     "
" Column 5 have been filled with values from Column 7.  Column 10 is identical to Column 6  "
" except missing values have been filled with values from Column 8.  Missing values are     "
" denoted by -99.99                                                                         "
" Column 11 is the 3-digit sampling station identifier"
"                                                                                           "
" CO2 concentrations are measured on the '12' calibration scale                             "
"                                                                                           "
  Yr, Mn,    Date,      Date,     CO2,seasonally,        fit,  seasonally,      CO2, seasonally, Sta
1958, 01,   21200,  1958.0411,  -99.99,   -99.99,     -99.99,   -99.99,     -99.99,   -99.99, MLO
1958, 02,   21231,  1958.1260,  -99.99,   -99.99,     -99.99,   -99.99,     -99.99,   -99.99, MLO
1958, 03,   21259,  1958.2027,  315.71,   314.44,     316.19,   314.91,     315.71,   314.44, MLO
1958, 04,   21290,  1958.2877,  317.45,   315.16,     317.30,   314.99,     317.45,   315.16, MLO
1958, 05,   21320,  1958.3699,  317.51,   314.69,     317.89,   315.07,     317.51,   314.69, MLO
1958, 06,   21351,  1958.4548,  -99.99,   -99.99,     317.27,   315.15,     317.27,   315.15, MLO
1958, 07,   21381,  1958.5370,  315.87,   315.20,     315.86,   315.22,     315.87,   315.20, MLO
1958, 08,   21412,  1958.6219,  314.93,   316.21,     313.97,   315.29,     314.93,   316.21, MLO
1958, 09,   21443,  1958.7068,  313.21,   316.11,     312.44,   315.35,     313.21,   316.11, MLO
1958, 10,   21473,  1958.7890,  -99.99,   -99.99,     312.42,   315.41,     312.42,   315.41, MLO
1958, 11,   21504,  1958.8740,  313.33,   315.21,     313.61,   315.46,     313.33,   315.21, MLO
1958, 12,   21534,  1958.9562,  314.67,   315.43,     314.77,   315.52,     314.67,   315.43, MLO
1959, 01,   21565,  1959.0411,  315.58,   315.52,     315.64,   315.57,     315.58,   315.52, MLO
1959, 02,   21596,  1959.1260,  316.49,   315.84,     316.29,   315.63,     316.49,   315.84, MLO
1959, 03,   21624,  1959.2027,  316.65,   315.38,     316.98,   315.70,     316.65,   315.38, MLO
1959, 04,   21655,  1959.2877,  317.72,   315.42,     318.09,   315.77,     317.72,   315.42, MLO
1959, 05,   21685,  1959.3699,  318.29,   315.46,     318.68,   315.85,     318.29,   315.46, MLO
1959, 06,   21716,  1959.4548,  318.15,   316.00,     318.07,   315.94,     318.15,   316.00, MLO
1959, 07,   21746,  1959.5370,  316.54,   315.87,     316.67,   316.03,     316.54,   315.87, MLO
1959, 08,   21777,  1959.6219,  314.80,   316.09,     314.80,   316.13,     314.80,   316.09, MLO
1959, 09,   21808,  1959.7068,  313.84,   316.75,     313.30,   316.22,     313.84,   316.75, MLO
1959, 10,   21838,  1959.7890,  313.33,   316.34,     313.31,   316.31,     313.33,   316.34, MLO
1959, 11,   21869,  1959.8740,  314.81,   316.69,     314.53,   316.40,     314.81,   316.69, MLO
1959, 12,   21899,  1959.9562,  315.58,   316.35,     315.72,   316.48,     315.58,   316.35, MLO
1960, 01,   21930,  1960.0410,  316.43,   316.37,     316.63,   316.56,     316.43,   316.37, MLO
1960, 02,   21961,  1960.1257,  316.98,   316.33,     317.29,   316.64,     316.98,   316.33, MLO
1960, 03,   21990,  1960.2049,  317.58,   316.28,     318.03,   316.72,     317.58,   316.28, MLO
1960, 04,   22021,  1960.2896,  319.03,   316.70,     319.14,   316.79,     319.03,   316.70, MLO
1960, 05,   22051,  1960.3716,  320.03,   317.20,     319.70,   316.87,     320.03,   317.20, MLO
1960, 06,   22082,  1960.4563,  319.58,   317.45,     319.04,   316.93,     319.58,   317.45, MLO
1960, 07,   22112,  1960.5383,  318.18,   317.53,     317.59,   316.98,     318.18,   317.53, MLO
